#{"t_start": 1678050823.8335638, "env_id": "LunarLander-v2"}
r,l,t
-114.689419,85,1.523403
-238.794054,93,1.647901
-175.576496,85,1.762992
-356.407623,85,1.876432
-339.196884,133,2.053982
-49.440074,66,2.139992
-103.234598,85,2.2531
-224.340236,125,2.432114
-323.30503,137,2.621945
-82.585668,80,2.726974
-237.812546,93,2.859037
-93.27368,62,2.952516
-70.035761,72,3.058032
-142.436513,118,3.214802
-104.132307,75,3.314344
-24.287934,111,3.461699
-107.304464,103,3.589577
-256.731064,94,3.720047
-512.710435,136,3.907849
-138.950668,116,4.06533
-239.669835,71,4.159563
20.169497,146,11.159978
-124.437699,115,11.331661
-197.607305,87,11.461101
-103.773925,82,11.578839
-161.747482,96,11.778137
-133.330341,78,11.89011
-72.16005,62,11.983493
-65.386136,63,12.072931
-14.758144,66,12.168683
-147.239679,118,12.35318
-321.543705,86,12.480286
-101.465274,92,12.617808
-96.880129,72,12.726585
-245.20022,86,12.858819
26.272733,72,12.988584
-129.32549,65,13.083235
-195.745155,111,13.260928
-177.584931,111,13.429818
-142.03931,109,13.598897
-116.992048,75,13.71385
-98.202106,61,13.809284
-130.621224,66,13.911162
-137.490094,65,14.01282
-86.193536,99,20.838755
-193.500764,108,20.988897
-146.090401,117,21.160798
-105.288636,68,21.256458
-102.778273,83,21.377882
-82.557142,69,21.469735
-263.559875,106,21.628984
-99.051572,73,21.731071
-280.232902,112,21.899842
-126.456325,63,21.995935
-107.172618,115,22.239097
-89.63894,64,22.338982
-76.270903,72,22.450249
-28.138531,103,22.607747
-117.117827,67,22.708933
-100.394224,144,22.933018
-99.455717,74,23.054044
-114.600123,101,23.209611
-89.207481,120,23.409861
-155.493818,106,23.592809
-183.443199,119,23.785322
-218.214768,118,23.971376
-164.813632,136,31.333833
-71.567968,78,31.458036
-71.665163,117,31.644489
-47.829001,80,31.769776
-135.93963,129,31.979976
-100.665193,122,32.183262
-288.344482,104,32.362376
-121.979252,84,32.504538
-141.919621,102,32.66997
-269.55883,138,32.907925
-349.685466,127,33.119389
-95.979772,75,33.240031
-192.398603,103,33.482591
-121.317361,82,33.621946
-110.393091,72,33.74026
-99.006494,81,33.871922
-80.236634,92,34.022687
-283.42657,146,34.259024
-381.628577,97,34.426561
-65.458983,119,41.908943
-83.99558,64,42.009021
-84.854891,77,42.130409
-185.610682,128,42.342384
-81.591009,133,42.556367
-150.900296,162,42.818006
-78.396286,62,42.916605
-97.127159,92,43.064517
-50.749149,141,43.293181
-100.63727,71,43.412228
-146.3701,88,43.555193
-130.029454,91,43.703212
-160.740163,150,43.959086
-75.627315,112,44.148682
-62.7911,127,44.372998
-90.218011,175,44.683029
-107.016316,86,44.830383
-831.847512,206,45.203127
-418.701376,456,53.249696
-76.372009,101,53.432091
-67.304872,110,53.601316
-54.308954,138,53.81639
-54.011792,142,54.040025
-93.791658,129,54.234262
-116.177252,152,54.469818
-26.191063,134,54.680335
-48.072708,152,54.911096
-136.279634,112,55.088375
-52.974818,95,55.239627
-77.252869,117,55.431588
-89.038304,156,55.692965
-81.383198,65,55.799857
-54.206745,149,56.039797
-87.760646,126,56.253946
-130.762557,131,56.463988
-59.65655,133,63.408733
-124.731615,102,63.564864
-20.059129,100,63.771735
-88.173263,145,64.032292
-59.644559,120,64.253748
-87.158922,167,64.566121
-16.7653,126,64.866048
-47.492732,99,65.054032
-7.927075,107,65.309039
-20.791824,147,65.592683
-55.995766,199,65.97802
-78.236155,152,66.264583
-58.806233,143,66.536325
-87.338181,137,66.777788
-62.543055,166,67.071916
-24.850093,110,74.537056
-58.274364,211,74.943834
-39.188654,153,75.223033
34.175862,115,75.438401
-91.157201,192,75.938684
-97.361936,193,76.329681
-170.186842,168,76.650721
-26.861124,122,76.878217
3.440135,109,77.077772
-2.77164,128,77.320636
-15.048267,114,77.530597
-131.027176,156,77.822349
-24.099102,130,78.056985
-22.57828,132,78.304285
-175.877002,315,85.885783
-106.786032,196,86.22177
-23.722224,176,86.543197
-13.665433,110,86.756308
-84.365917,201,87.154781
-30.733273,156,87.433071
-152.579087,355,88.150531
-1.341142,181,88.520923
-67.613283,221,88.994138
-20.362811,217,97.11086
41.541433,120,97.331898
-54.185999,221,97.888807
-15.440692,154,98.192547
-10.976154,239,98.724487
-50.805029,558,100.182264
-291.849513,218,101.039858
-708.461765,534,102.543096
-4.817619,1000,114.301369
24.645013,1000,119.994393
-82.513628,323,120.94303
36.011444,1000,131.848696
73.434222,1000,136.831486
36.225655,1000,148.662546
51.065971,1000,153.833038
-100.961778,509,195.590136
-147.6431,308,216.142121
