#{"t_start": 1678050823.8335638, "env_id": "LunarLander-v2"}
r,l,t
-388.996507,77,1.512803
-95.681684,130,1.69052
-172.419998,92,1.812921
-88.613054,63,1.893205
-153.531467,92,2.01814
-278.390104,111,2.164104
-308.234698,90,2.284591
-100.437491,66,2.388048
-168.416486,143,2.579095
-192.560565,108,2.723981
-276.367302,87,2.846561
-135.057494,100,3.00026
-78.754768,89,3.119027
-331.342891,113,3.270066
-176.409374,106,3.411053
-97.460497,74,3.510003
-180.719986,102,3.6457
-247.31772,114,3.796048
-428.986043,127,3.970158
-286.857702,60,4.051769
-464.953719,104,4.189665
-162.311334,86,11.11069
-234.07258,99,11.253192
-183.613793,66,11.350815
-151.012569,92,11.483419
-123.523722,77,11.597887
-103.7687,121,11.831452
-72.461004,98,11.977868
-213.425109,106,12.133684
-243.01733,78,12.251979
-115.799178,111,12.41318
-147.822168,109,12.579036
-223.866262,126,12.768742
-79.711508,73,12.893492
-118.770802,91,13.040831
-76.237233,101,13.198913
-150.276808,77,13.31659
-110.651891,115,13.495425
-122.751869,113,13.669907
-350.2371,117,13.849526
-107.826391,88,13.986321
-95.450656,93,14.129824
-106.799896,92,20.937173
-146.221138,94,21.070895
-102.966207,86,21.194046
-104.957876,117,21.359799
-45.642755,67,21.453197
-148.853889,78,21.568094
-98.410209,67,21.667845
-131.893244,116,21.841591
-129.218594,107,21.999837
-113.233952,76,22.11466
-115.881358,74,22.298716
-94.068168,84,22.427866
-260.688216,139,22.642791
-100.280048,94,22.787868
-56.807532,58,22.877789
-384.102435,90,23.021106
-227.844191,111,23.18997
-119.679504,96,23.348966
-103.136657,105,23.532371
-161.994536,107,23.706709
-204.079284,108,23.878967
-98.728508,71,23.994176
-15.878806,72,31.239551
-107.723727,123,31.442996
-99.051003,117,31.63404
-75.331294,94,31.784427
-114.710997,95,31.937948
-59.643836,70,32.055621
-147.778208,98,32.217929
-148.048199,94,32.378641
-106.284341,154,32.638656
-126.364624,98,32.800449
-139.235931,97,32.966532
-117.122498,110,33.148748
-66.820212,66,33.259579
-107.692367,108,33.508681
-118.281097,105,33.679726
-138.169899,117,33.872938
-79.879037,139,34.101784
-215.05827,154,34.349859
-48.392686,60,34.45608
-91.867355,100,41.90686
-111.017999,98,42.058942
-110.375276,159,42.320425
-80.44444,119,42.513611
-74.253562,84,42.648733
-64.283472,70,42.761104
-103.358895,94,42.909562
-105.549718,84,43.042745
-108.829109,66,43.148812
-72.007823,85,43.291183
-110.603406,90,43.440707
-84.641937,149,43.683589
-20.427593,155,43.949981
-99.485456,154,44.21427
-103.61981,82,44.356344
-95.966939,71,44.478155
-92.091598,104,44.664583
-134.964954,111,44.850449
-1183.876204,212,45.209597
-1132.878605,204,45.505042
-133.468291,106,46.040146
-67.415486,68,46.192014
-90.237113,159,53.40889
-228.833128,122,53.598773
-27.172884,87,53.736777
-79.719726,128,53.934083
-83.275368,71,54.046051
-95.964916,91,54.182518
-21.312279,156,54.428952
-57.060923,101,54.582754
-54.227162,119,54.76673
-75.726802,137,54.973915
-57.404869,84,55.109728
-52.288034,67,55.214839
-129.602163,124,55.418868
-26.094687,104,55.589578
-42.662178,177,55.889767
-70.11152,171,56.168888
-95.919692,116,56.356642
-70.246869,137,63.313703
-212.538848,126,63.505961
-68.828745,179,63.842209
-67.588602,122,64.065035
-73.56238,110,64.268897
-34.81494,157,64.560133
-80.810252,133,64.874752
9.388126,113,65.106737
-35.997427,85,65.299043
-24.453255,150,65.590688
-20.478903,90,65.765618
-41.291387,91,65.940035
-1.007549,109,66.15406
-217.500396,122,66.37625
-101.032875,104,66.571939
-48.986767,92,66.731642
-32.333098,172,67.043593
-58.870027,102,74.488658
-9.068992,184,74.836606
-40.890551,121,75.076752
-40.629988,194,75.425914
19.851148,145,75.830514
-137.119489,254,76.344379
10.202183,92,76.519727
-46.113218,89,76.692876
-52.80915,139,76.952465
-58.769881,187,77.299288
-48.967199,105,77.492909
-12.321389,140,77.748127
4.276916,157,78.03828
-127.864521,180,78.376827
-32.468211,166,85.684556
-34.982628,105,85.869616
-14.549875,154,86.135241
-127.06041,400,86.91009
-82.725618,219,87.308833
-33.59435,137,87.588693
29.406134,131,87.831991
8.991228,253,88.340953
-60.324929,195,88.752578
21.177223,108,88.982219
-51.131386,213,97.089765
-5.373293,364,97.919785
-83.916025,333,98.622418
24.384084,183,98.992967
-60.767869,205,99.514725
-114.807989,404,100.579069
-408.05347,306,101.251812
-592.266219,381,102.232731
-69.743032,373,103.591332
-150.031554,425,112.750262
-119.80342,301,114.498781
38.824802,1000,120.150443
-96.957251,358,121.107884
-39.82798,318,128.936635
35.221733,1000,134.046194
-1.735318,309,135.533473
77.236305,1000,147.193156
68.756434,1000,152.394042
-28.700085,223,176.528702
-14.504027,343,199.389919
