#{"t_start": 1678050823.8335638, "env_id": "LunarLander-v2"}
r,l,t
-262.797778,89,1.528975
-314.918995,100,1.659059
-427.933142,117,1.81995
-327.473818,95,1.947115
-193.11702,90,2.06703
-170.349714,94,2.19175
-238.895879,113,2.342997
-126.172894,87,2.4689
-158.811012,94,2.602111
-108.852104,68,2.689644
-101.785077,115,2.851541
-310.299159,116,3.023037
-197.089632,91,3.139708
-334.216634,84,3.257819
-245.458484,139,3.445165
-147.459767,81,3.552655
-105.360379,78,3.65659
-203.494786,74,3.749652
-103.160115,69,3.845773
-197.136771,77,3.949859
-134.903092,89,4.073038
-482.759447,88,4.188792
-225.465989,100,11.129749
-111.752714,99,11.272818
-129.835373,100,11.423367
-217.258468,90,11.549806
-128.090396,66,11.705534
-110.55906,85,11.831452
-150.79416,77,11.943646
30.310178,94,12.08001
-346.191574,130,12.278088
-29.75457,120,12.458938
-103.325639,91,12.594249
-156.721168,89,12.729823
-208.718798,110,12.910089
-111.257675,99,13.059556
-77.435246,67,13.171313
-129.669988,110,13.343342
-131.600111,80,13.465545
-89.07874,70,13.573601
-112.600868,69,13.679964
-200.043883,94,13.822881
-132.974991,95,13.969101
-115.027755,72,14.081922
-135.069123,65,20.855748
-106.938343,63,20.945833
-151.614936,77,21.055322
-62.898311,66,21.14965
-109.826615,76,21.259046
-92.843493,84,21.381436
-147.713866,125,21.549825
-112.717569,99,21.699725
-58.278108,57,21.788002
-145.195606,94,21.918986
-150.062442,119,22.107105
-226.156595,143,22.395661
-171.86702,111,22.568644
-2.610774,124,22.758955
-189.90135,150,22.988753
-111.9414,62,23.090006
-68.165679,83,23.223773
-114.989159,66,23.329011
-130.409887,77,23.46678
-110.127367,103,23.631441
-91.897066,85,23.769827
-236.94501,100,23.931186
-145.808465,100,31.231589
-88.649323,95,31.386313
-57.639508,64,31.488699
-82.346739,112,31.669002
-133.050874,129,31.868804
-110.569446,78,32.004515
-51.486648,86,32.146274
-172.109876,184,32.449983
-121.677995,67,32.567995
-158.691299,125,32.780729
-80.428371,133,32.999689
-138.099188,113,33.196579
-100.425022,103,33.363199
-324.278373,110,33.608731
-155.519517,97,33.772602
-24.288706,74,33.894817
-141.981297,112,34.081099
-88.135977,74,34.20025
-307.071469,150,34.451098
-122.801516,112,41.920063
-179.590664,110,42.096744
-90.007509,68,42.204397
-10.87839,79,42.335377
-87.510398,92,42.479653
-89.545611,76,42.599087
-54.176506,77,42.730264
-105.854701,105,42.9005
-93.890253,92,43.042745
-70.940121,109,43.218723
-80.010324,136,43.44669
-80.734128,88,43.589075
-93.474899,118,43.788412
-90.156511,84,43.929632
-153.267508,180,44.244043
-132.063075,104,44.419569
-116.065899,80,44.562331
-74.388256,138,44.805955
-1000.810378,214,45.218716
-969.442144,221,45.8611
-102.215462,105,46.078434
-45.391162,96,46.294424
-73.915451,142,53.457073
-59.815982,139,53.672345
-184.777729,152,53.905767
-72.846019,110,54.078853
-58.781979,170,54.338633
-23.409357,164,54.588904
-93.263449,136,54.803815
-70.081336,153,55.038015
-91.129064,75,55.158942
-2.749114,148,55.398964
-12.642293,85,55.541603
-50.285382,87,55.688318
-115.200158,110,55.873056
-23.264919,86,56.01185
-143.099665,117,56.206405
-58.933454,76,56.329072
-60.358822,121,63.259707
-24.49083,98,63.409614
-36.573205,154,63.687058
-75.761868,146,63.947021
-206.799264,188,64.298134
-58.685085,232,64.750944
-110.008408,162,65.120757
-81.127314,147,65.431814
41.966594,134,65.693334
-29.927173,89,65.860524
-85.000528,152,66.159056
-86.342471,174,66.482876
-57.592313,179,66.805119
-23.65166,121,67.015628
-53.498074,137,74.529064
-100.991858,86,74.688153
-38.238103,128,74.941838
-37.353462,114,75.154273
20.976488,190,75.509712
-67.74293,111,75.846491
-54.366424,157,76.145787
-26.311056,201,76.555644
-80.672095,176,76.888313
-4.406418,106,77.081388
-27.848805,111,77.294191
-35.724329,150,77.574202
-43.940485,154,77.856762
-81.036983,114,78.062625
-43.86308,163,78.369839
21.731885,168,85.679086
5.121695,209,86.044946
-124.852141,177,86.366269
-5.333398,309,86.979774
27.919887,169,87.28131
-0.120074,207,87.67961
12.660667,150,87.972548
-79.369571,219,88.420833
-31.444426,161,88.761578
-39.14126,184,89.161594
-22.547606,121,97.06504
-46.03102,357,97.878839
-17.590897,197,98.27864
-39.058522,192,98.70572
-109.111712,313,99.419962
-78.762758,268,100.214308
-838.788739,513,101.679638
-314.315804,285,102.676333
42.060357,1000,114.569392
5.773098,1000,120.193192
27.983367,274,120.93598
-25.920441,323,128.685483
84.911,1000,133.67617
26.924797,244,134.858024
-2.988209,331,136.434268
65.842498,1000,148.257832
49.657513,1000,153.45331
-26.728688,315,182.660952
18.345011,175,194.327843
27.455768,235,209.992079
